Crop,N,P,K,pH,boron,iron,magnese,zinc,calcium,magnesium,sulphur
rice,80,40,40,5.5,0.32,1.39,0.49,0.54,20.1753,15.6919,35.65
maize,80,40,20,5.5,0.57,1.04,0.64,0.47,49.3175,65.0094,23.56
banana,100,75,50,6.5,4.47,5.43,1.26,7.04,31.27,64.325,19.87
mango,20,20,30,5,6.25,3.2,1.56,2.96,18.024,52.34,51.02
grapes,20,125,200,4,0.56,0.82,0.36,0.55,12.254,16.23,48.225
apple,20,125,200,6.5,1.36,0.75,0.98,1.32,33.6255,23.145,45.24
orange,20,10,10,4,2.54,0.63,0.74,1.45,89.6681,19.25,49.84
papaya,50,50,50,6,1.38,2.96,2.65,2.76,12.35,15.36,28.97
jute,80,40,40,5.5,0.52,1.02,0.14,0.24,48.23,56.34,33.25
